"clustering_ids","market_ids","car_ids","firm_ids","make","model","shares","quantity","trend","prices","mpg","hp","wt","len","wid","ht","wb","Doors","Seats","hpwt","space","ULSP","ULSD","CPI","mpd","region","Segment","Segment_Desc","low_share","Viz1","Viz2","Viz3","Viz4","Viz5","count"
"16_7",2010,"16_7_2010","GM","Chevrolet","Cruze",0.000126868607395751,1032,2,17.7673378076063,4.34444444444444,127.888888888889,298.677018444444,4597,1788,1477,2685,4,5,0.428184563897664,1.27401650396697,1.30764713474445,1.3337183789365,0.894,0.723612914044752,"United States",3,"C-segment (compact)",0,-0.38371524,0.6071974,0.75298744,-0.5028254,0.058892056,7
"16_7",2009,"16_7_2009","GM","Chevrolet","Cruze",5.42547894096633e-05,438,1,17.9865762124711,4.3625,125.5,296.6867365,4597,1788,1477,2685,4,5,0.423005091095469,1.27401650396697,1.15004441286196,1.20266033043169,0.866,0.815771589320048,"United States",3,"C-segment (compact)",0,-0.38371524,0.6071974,0.75298744,-0.5028254,0.058892056,7
"16_7",2014,"16_7_2014","GM","Chevrolet","Cruze",6.68473395000205e-05,554,6,18.0702,5.348,120,306.06298536,4587.92,1797,1477,2685,4.92,5,0.392076159940911,1.27790023312884,1.27417884615385,1.33474230769231,1,0.901843145398332,"United States",3,"C-segment (compact)",0,-0.38371524,0.6071974,0.75298744,-0.5028254,0.058892056,7
"16_7",2013,"16_7_2013","GM","Chevrolet","Cruze",0.000184138222231363,1522,5,18.1143824027073,4.99333333333333,130.333333333333,307.265238133333,4586.73333333333,1797,1477,2685,4.93333333333333,5,0.424172074020222,1.27756970391081,1.36365482233503,1.42727645450996,0.985,0.787121871658558,"United States",3,"C-segment (compact)",0,-0.38371524,0.6071974,0.75298744,-0.5028254,0.058892056,7
"16_8",2008,"16_8_2008","GM","Chevrolet","Epica",6.6074489636902e-06,53,0,19.5191853600945,4.075,145.25,338.960325,4805,1810,1450,2700,4,5,0.428516228263588,1.34804690198037,1.26329579511398,1.38792344019617,0.847,0.676211473551103,"United States",4,"D-segment (mid-size)",0,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,2
"16_8",2009,"16_8_2009","GM","Chevrolet","Epica",1.56075421589442e-05,126,1,19.090935334873,4.075,145.25,338.960325,4805,1810,1450,2700,4,5,0.428516228263588,1.34804690198037,1.15004441286196,1.20266033043169,0.866,0.762010137874888,"United States",4,"D-segment (mid-size)",0,-0.43686143,-0.06348228,0.055425785,0.0970169,0.06968617,2
"17_1",2009,"17_1_2009","AggFirm","Chrysler","300C",7.33306742705951e-05,592,1,40.6543494996151,2.91666666666667,285,442.210028333333,5015,1880,1468.5,3050,4.5,5,0.644490133057702,1.46137550103211,1.15004441286196,1.20266033043169,0.866,0.545406029153805,"United States",5,"E-segment (mid-size luxury sedan)",1,0.22834224,-0.26710582,1.001179,1.4704518,-0.59860694,7
"17_1",2015,"17_1_2015","AggFirm","Chrysler","300C",3.57813331170551e-07,3,7,29.535,3.9,236,466.718054,5066,1902,1488,3052,4,5,0.505658604755838,1.49351206001261,1.11033846153846,1.14996923076923,1,0.75909758239847,"United States",5,"E-segment (mid-size luxury sedan)",1,0.22834224,-0.26710582,1.001179,1.4704518,-0.59860694,7
"17_1",2008,"17_1_2008","AggFirm","Chrysler","300C",0.000137883746298894,1106,0,41.5663124754034,2.91666666666667,285,442.210028333333,5015,1880,1468.5,3050,4.5,5,0.644490133057702,1.46137550103211,1.26329579511398,1.38792344019617,0.847,0.483995942214491,"United States",5,"E-segment (mid-size luxury sedan)",1,0.22834224,-0.26710582,1.001179,1.4704518,-0.59860694,7
"17_1",2013,"17_1_2013","AggFirm","Chrysler","300C",1.86315941022536e-05,154,5,34.590524534687,3.9,236,466.718054,5066,1902,1488,3052,4,5,0.505658604755838,1.49351206001261,1.36365482233503,1.42727645450996,0.985,0.614774759573106,"United States",5,"E-segment (mid-size luxury sedan)",1,0.22834224,-0.26710582,1.001179,1.4704518,-0.59860694,7
